SRX ID	SRA ID	GEO ID	Genome	Track type class	Track type	Cell type class	Cell type	Title	Attributes
SRX8297713	SRA1073734	GSM4542792	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D10 normalBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D10_normalBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAGtimepoint: Day 10
SRX8297714	SRA1073734	GSM4542793	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D10 normalBMP4 Rep4 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D10_normalBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAGtimepoint: Day 10
SRX8297715	SRA1073734	GSM4542794	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D10 normalBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D10_normalBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 10
SRX8297716	SRA1073734	GSM4542795	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D10 normalBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D10_normalBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 10
SRX8297717	SRA1073734	GSM4542796	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D10 normalBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D10_normalBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 10
SRX8297718	SRA1073734	GSM4542797	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D10 highBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D10_highBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAGtimepoint: Day 10
SRX8297719	SRA1073734	GSM4542798	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D10 highBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D10_highBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAGtimepoint: Day 10
SRX8297720	SRA1073734	GSM4542799	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D10 highBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D10_highBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAGtimepoint: Day 11
SRX8297721	SRA1073734	GSM4542800	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D10 highBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D10_highBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 10
SRX8297722	SRA1073734	GSM4542801	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D10 highBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D10_highBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 10
SRX9759093	SRA1179075	GSM4996027	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	CM LMNA ctr ATAC seq Rep1; Mus musculus; ATAC-seq	source_name: CM_LMNA_ctr_ATAC_seqcell line background: E14 Tg(Nkx2-5-EmGFP)cell type: cardiomyocytepassages: Day10genotype: WTantibody: Tn5_and_NexteraDNAindex
SRX9759094	SRA1179075	GSM4996028	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	CM LMNA ctr ATAC seq Rep2; Mus musculus; ATAC-seq	source_name: CM_LMNA_ctr_ATAC_seqcell line background: E14 Tg(Nkx2-5-EmGFP)cell type: cardiomyocytepassages: Day10genotype: WTantibody: Tn5_and_NexteraDNAindex
SRX9759095	SRA1179075	GSM4996029	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	CM LMNA ctr ATAC seq Rep3; Mus musculus; ATAC-seq	source_name: CM_LMNA_ctr_ATAC_seqcell line background: E14 Tg(Nkx2-5-EmGFP)cell type: cardiomyocytepassages: Day10genotype: WTantibody: Tn5_and_NexteraDNAindex
SRX9759096	SRA1179075	GSM4996030	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	CM LMNA KO ATAC seq Rep1; Mus musculus; ATAC-seq	source_name: CM_LMNA_KO_ATAC_seqcell line background: E14 Tg(Nkx2-5-EmGFP)cell type: cardiomyocytepassages: Day10genotype: Lmna KOantibody: Tn5_and_NexteraDNAindex
SRX9759097	SRA1179075	GSM4996031	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	CM LMNA KO ATAC seq Rep2; Mus musculus; ATAC-seq	source_name: CM_LMNA_KO_ATAC_seqcell line background: E14 Tg(Nkx2-5-EmGFP)cell type: cardiomyocytepassages: Day10genotype: Lmna KOantibody: Tn5_and_NexteraDNAindex
SRX9759098	SRA1179075	GSM4996032	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	CM LMNA KO ATAC seq Rep3; Mus musculus; ATAC-seq	source_name: CM_LMNA_KO_ATAC_seqcell line background: E14 Tg(Nkx2-5-EmGFP)cell type: cardiomyocytepassages: Day10genotype: Lmna KOantibody: Tn5_and_NexteraDNAindex
SRX2435126	SRA505242	GSM2431692	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	Embryoid Bodies	WT d475endo ATAC; Mus musculus; ATAC-seq	source_name: WT mES cell derived day 4.75 EB EB (embryoid body) Tie2+CD31+CD41- endothelial cellscell type: endothelial cellscell-line: WT mESCtreatment: EB formation, FACS sorting for Tie2+CD31+CD41- endothelial cells at day 4.75
SRX2435127	SRA505242	GSM2431693	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	Embryoid Bodies	Etv2KOiSCL d475endo ATAC; Mus musculus; ATAC-seq	source_name: Etv2KOiSCL_d475EB mES cell derived day 4.75 EB EB (embryoid body) Tie2+CD31+CD41- endothelial cellscell type: endothelial cellscell-line: Etv2KOiSCL mESCtreatment: EB formation, FACS sorting for Tie2+CD31+CD41- endothelial cells at day 4.75
SRX2435128	SRA505242	GSM2431694	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	Embryoid Bodies	Etv2KOiETV2 d475endo ATAC; Mus musculus; ATAC-seq	source_name: Etv2KOiETV2_d475EB mES cell derived day 4.75 EB EB (embryoid body) Tie2+CD31+CD41- endothelial cellscell type: endothelial cellscell-line: Etv2KOiETV2 mESCtreatment: EB formation, FACS sorting for Tie2+CD31+CD41- endothelial cells at day 4.75
SRX14474829	SRA1388587	GSM5956765	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	HE2-Serum-R2; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 2 (HE2)cell type: HM-1 ES dervied Hemogenic Endothelium 2 cellsmouse strain: 129/ola
SRX14474830	SRA1388587	GSM5956764	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	HE1-Serum-R2; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 1 (HE1)cell type: HM-1 ES dervied Hemogenic Endothelium 1 cellsmouse strain: 129/ola
SRX14474834	SRA1388587	GSM5956760	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	HE2-Serum-R1; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 2 (HE2)cell type: HM-1 ES dervied Hemogenic Endothelium 2 cellsmouse strain: 129/ola
SRX14474835	SRA1388587	GSM5956759	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	HE1-Serum-R1; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 1 (HE1)cell type: HM-1 ES dervied Hemogenic Endothelium 1 cellsmouse strain: 129/ola
SRX15152566	SRA1414712	GSM6106583	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	All-HE1; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 1 (HE1)cell type: HM-1 ES derived Hemogenic Endothelium 1 cellsmouse strain: 129/olacytokine treatment: All cytokines present
SRX15152567	SRA1414712	GSM6106584	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	All-HE2; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 2 (HE2)cell type: HM-1 ES derived Hemogenic Endothelium 2 cellsmouse strain: 129/olacytokine treatment: All cytokines present
SRX15152570	SRA1414712	GSM6106587	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	BMP4-HE1; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 1 (HE1)cell type: HM-1 ES derived Hemogenic Endothelium 1 cellsmouse strain: 129/olacytokine treatment: BMP4 withdrawn
SRX15152571	SRA1414712	GSM6106588	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	BMP4-HE2; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 2 (HE2)cell type: HM-1 ES derived Hemogenic Endothelium 2 cellsmouse strain: 129/olacytokine treatment: BMP4 withdrawn
SRX15152573	SRA1414712	GSM6106590	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	IL3-HE1; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 1 (HE1)cell type: HM-1 ES derived Hemogenic Endothelium 1 cellsmouse strain: 129/olacytokine treatment: IL3 withdrawn
SRX15152574	SRA1414712	GSM6106591	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	IL3-HE2; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 2 (HE2)cell type: HM-1 ES derived Hemogenic Endothelium 2 cellsmouse strain: 129/olacytokine treatment: IL3 withdrawn
SRX15152577	SRA1414712	GSM6106594	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	IL6-HE1; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 1 (HE1)cell type: HM-1 ES derived Hemogenic Endothelium 1 cellsmouse strain: 129/olacytokine treatment: IL6 withdrawn
SRX15152578	SRA1414712	GSM6106595	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	IL6-HE2; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 2 (HE2)cell type: HM-1 ES derived Hemogenic Endothelium 2 cellsmouse strain: 129/olacytokine treatment: IL6 withdrawn
SRX15152581	SRA1414712	GSM6106598	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	VEGF-HE1; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 1 (HE1)cell type: HM-1 ES derived Hemogenic Endothelium 1 cellsmouse strain: 129/olacytokine treatment: VEGF withdrawn
SRX15152582	SRA1414712	GSM6106599	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived haemogenic endothelium	VEGF-HE2; Mus musculus; ATAC-seq	source_name: Hemogenic Endothelium 2 (HE2)cell type: HM-1 ES derived Hemogenic Endothelium 2 cellsmouse strain: 129/olacytokine treatment: VEGF withdrawn
ERX2800413	ERA1597942	-	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Illumina HiSeq 4000 paired end sequencing; Open chromatin profiling on ESC transition to day1- and day2-epiblast-like stem cells	ENA-CHECKLIST: ERC000011ENA-FIRST-PUBLIC: 2019-01-31T17:02:06ZENA-LAST-UPDATE: 2018-09-13T16:22:22ZExternal Id: SAMEA4896260INSDC center name: The University of ManchesterINSDC first public: 2019-01-31T17:02:06ZINSDC last update: 2018-09-13T16:22:22ZINSDC status: publicSubmitter Id: E-MTAB-7207:Sample 3broker name: ArrayExpresscell line: ES-E14Tg2acell type: epiblast-like cellcommon name: house mousedisease: normalgenotype: Rex1GFPd2organism part: inner cell massprogenitor cell type: embryonic stem cellsample name: E-MTAB-7207:Sample 3scientific_name: Mus musculus
ERX2800414	ERA1597942	-	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Illumina HiSeq 4000 paired end sequencing; Open chromatin profiling on ESC transition to day1- and day2-epiblast-like stem cells	ENA-CHECKLIST: ERC000011ENA-FIRST-PUBLIC: 2019-01-31T17:02:06ZENA-LAST-UPDATE: 2018-09-13T16:22:22ZExternal Id: SAMEA4896261INSDC center name: The University of ManchesterINSDC first public: 2019-01-31T17:02:06ZINSDC last update: 2018-09-13T16:22:22ZINSDC status: publicSubmitter Id: E-MTAB-7207:Sample 4broker name: ArrayExpresscell line: ES-E14Tg2acell type: epiblast-like cellcommon name: house mousedisease: normalgenotype: Rex1GFPd2organism part: inner cell massprogenitor cell type: embryonic stem cellsample name: E-MTAB-7207:Sample 4scientific_name: Mus musculus
ERX2800415	ERA1597942	-	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Illumina HiSeq 4000 paired end sequencing; Open chromatin profiling on ESC transition to day1- and day2-epiblast-like stem cells	ENA-CHECKLIST: ERC000011ENA-FIRST-PUBLIC: 2019-01-31T17:02:06ZENA-LAST-UPDATE: 2018-09-13T16:22:22ZExternal Id: SAMEA4896262INSDC center name: The University of ManchesterINSDC first public: 2019-01-31T17:02:06ZINSDC last update: 2018-09-13T16:22:22ZINSDC status: publicSubmitter Id: E-MTAB-7207:Sample 5broker name: ArrayExpresscell line: ES-E14Tg2acell type: epiblast-like cellcommon name: house mousedisease: normalgenotype: Rex1GFPd2organism part: inner cell massprogenitor cell type: embryonic stem cellsample name: E-MTAB-7207:Sample 5scientific_name: Mus musculus
ERX2800416	ERA1597942	-	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Illumina HiSeq 4000 paired end sequencing; Open chromatin profiling on ESC transition to day1- and day2-epiblast-like stem cells	ENA-CHECKLIST: ERC000011ENA-FIRST-PUBLIC: 2019-01-31T17:02:06ZENA-LAST-UPDATE: 2018-09-13T16:22:22ZExternal Id: SAMEA4896263INSDC center name: The University of ManchesterINSDC first public: 2019-01-31T17:02:06ZINSDC last update: 2018-09-13T16:22:22ZINSDC status: publicSubmitter Id: E-MTAB-7207:Sample 6broker name: ArrayExpresscell line: ES-E14Tg2acell type: epiblast-like cellcommon name: house mousedisease: normalgenotype: Rex1GFPd2organism part: inner cell massprogenitor cell type: embryonic stem cellsample name: E-MTAB-7207:Sample 6scientific_name: Mus musculus
SRX3651285	SRA656183	GSM2981003	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	wildtype EpiLC clone CCE differentiation1 (ATAC-seq); Mus musculus; ATAC-seq	source_name: day 2 epiblast-like cellsstrain: 129/Sv//Evgenotype: wildtypecell type: day 2 epiblast-like cells
SRX3651286	SRA656183	GSM2981004	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	wildtype EpiLC clone CCE differentiation2 (ATAC-seq); Mus musculus; ATAC-seq	source_name: day 2 epiblast-like cellsstrain: 129/Sv//Evgenotype: wildtypecell type: day 2 epiblast-like cells
SRX3651287	SRA656183	GSM2981005	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	wildtype EpiLC clone CCE differentiation3 (ATAC-seq); Mus musculus; ATAC-seq	source_name: day 2 epiblast-like cellsstrain: 129/Sv//Evgenotype: wildtypecell type: day 2 epiblast-like cells
SRX3651288	SRA656183	GSM2981006	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Smad23DKO EpiLC clone KT15.1F6 differentiation1 (ATAC-seq); Mus musculus; ATAC-seq	source_name: day 2 epiblast-like cellsstrain: 129/Sv//Evgenotype: Smad23DKOcell type: day 2 epiblast-like cells
SRX3651289	SRA656183	GSM2981007	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Smad23DKO EpiLC clone KT15.1F6 differentiation2 (ATAC-seq); Mus musculus; ATAC-seq	source_name: day 2 epiblast-like cellsstrain: 129/Sv//Evgenotype: Smad23DKOcell type: day 2 epiblast-like cells
SRX3651290	SRA656183	GSM2981008	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Smad23DKO EpiLC clone KT15.1F6 differentiation3 (ATAC-seq); Mus musculus; ATAC-seq	source_name: day 2 epiblast-like cellsstrain: 129/Sv//Evgenotype: Smad23DKOcell type: day 2 epiblast-like cells
SRX3651291	SRA656183	GSM2981009	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	Tn5 control wildtype EpiLC rep1 (ATAC-seq); Mus musculus; ATAC-seq	source_name: day 2 epiblast-like cellsstrain: 129/Sv//Evgenotype: Tn5_control_wildtypecell type: day 2 epiblast-like cells
SRX4899476	SRA795402	GSM3434615	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	WT EpiLC; Mus musculus; ATAC-seq	source_name: Epiblast-like Cellcell type: Epiblast-like Cellstrain: J1culture: Differentiated 7 Daysgenotype: Wild-type
SRX8818180	SRA1103207	GSM4694525	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	ATAC EpiLC rep1; Mus musculus; ATAC-seq	source_name: epiblast like cellscell line: d2 EpiLCstrain: E14Tg2agenotype: wild type
SRX8818181	SRA1103207	GSM4694526	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	ATAC EpiLC rep2; Mus musculus; ATAC-seq	source_name: epiblast like cellscell line: d2 EpiLCstrain: E14Tg2agenotype: wild type
SRX9640813	SRA1167978	GSM4959456	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	D3 SOX2 CHIR FGF DOX ATAC-seq; Mus musculus; ATAC-seq	source_name: In vitro differentiated epiblast-like cellsstrain: HM1 (129)genotype: Sox2-/-time point: 72htreatment: Doxycycline maintained during differentiation
SRX9640814	SRA1167978	GSM4959457	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	D3 SOX2 CHIR FGF ATAC-seq; Mus musculus; ATAC-seq	source_name: In vitro differentiated epiblast-like cellsstrain: HM1 (129)genotype: Sox2-/-time point: 72htreatment: Doxycycline withdrawn during differentiation
SRX9640815	SRA1167978	GSM4959458	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	D3 WT CHIR FGF ATAC-seq; Mus musculus; ATAC-seq	source_name: In vitro differentiated epiblast-like cellsstrain: HM1 (129)genotype: wild-typetime point: 72htreatment: none
SRX9858241	SRA1184466	GSM5023449	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	B41-ATAC-EpiLC-rep1; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: B6
SRX9858242	SRA1184466	GSM5023450	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	B44-ATAC-EpiLC-rep2; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: B6
SRX9858243	SRA1184466	GSM5023451	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	B51-ATAC-EpiLC-rep3; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: B6
SRX9858244	SRA1184466	GSM5023452	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	D29-ATAC-EpiLC-rep1; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: D2
SRX9858245	SRA1184466	GSM5023453	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	D55-ATAC-EpiLC-rep2; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: D2
SRX9858246	SRA1184466	GSM5023454	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	DAC203-ATAC-EpiLC-rep3; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: D2
SRX9858247	SRA1184466	GSM5023455	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD43-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858248	SRA1184466	GSM5023456	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD48-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858249	SRA1184466	GSM5023457	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD61-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858250	SRA1184466	GSM5023458	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD63-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858251	SRA1184466	GSM5023459	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD64-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858252	SRA1184466	GSM5023460	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD67-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858253	SRA1184466	GSM5023461	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD83-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858254	SRA1184466	GSM5023462	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD69-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858255	SRA1184466	GSM5023463	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD71-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858256	SRA1184466	GSM5023464	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD73-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858257	SRA1184466	GSM5023465	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD74-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858258	SRA1184466	GSM5023466	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD81-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858259	SRA1184466	GSM5023467	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD86-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858260	SRA1184466	GSM5023468	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD87-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858261	SRA1184466	GSM5023469	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD99-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858262	SRA1184466	GSM5023470	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD124-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858263	SRA1184466	GSM5023471	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD125-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858264	SRA1184466	GSM5023472	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD44-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858265	SRA1184466	GSM5023473	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD45-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858266	SRA1184466	GSM5023474	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD49-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858267	SRA1184466	GSM5023475	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD55-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858268	SRA1184466	GSM5023476	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD62-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
SRX9858269	SRA1184466	GSM5023477	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	EpiLC	BXD65-ATAC-EpiLC; Mus musculus; ATAC-seq	source_name: epiblast-like stem cellcell type: esc transitioned to formative EpiLCmouse strain: bxd
